"","anio","concepto","inv_tot"
"88",2017,"Plantas de Compresión de Gas Natural",101.40815488
"89",2018,"Redes de Captación de Gas Natural(m)",101.177437256
"90",2013,"Plantas de Tratamiento de Gas Natural",100.460144676963
"91",2016,"Oleoductos(km)",99.73991416
"92",2020,"Perforación Pozos Avanzada(pozos)",97.27416885
"93",2017,"Oleoductos(km)",97.05320318
"94",2014,"Reparación de Pozos de Gas(pozos)",95.73214058
"95",2019,"Perforación Pozos Inyectores de Agua(pozos)",94.9714234111566
"96",2013,"Plantas de Compresión de Gas Natural",91.24078075471
"97",2019,"Conversión de Pozos(pozos)",90.6793515190864
"98",2012,"Reparación de Pozos de Gas(pozos)",90.30701
"99",2014,"Plantas de Compresión de Gas Natural",89.33660006
"100",2014,"Plantas de Tratamiento de Gas Natural",88.7440961228327
"101",2015,"Gasoductos(km)",88.36805106
"102",2019,"Gasoductos(km)",88.155703994596
"103",2013,"Oleoductos(km)",86.285955
"104",2018,"Oleoductos(km)",85.321249023
"105",2017,"Redes de Captación de Gas Natural(m)",84.651637
"106",2020,"Medio Ambiente",84.0171558799999
"107",2014,"Medio Ambiente",81.60338808
"108",2017,"Perforación Pozos Exploratorios(pozos)",78.62681
"109",2012,"Oleoductos(km)",78.2757
"110",2014,"Edificios, Almacenes, Obras Civiles, Caminos, etc.",77.634074
"111",2015,"Redes de Captación de Gas Natural(m)",71.9187
"112",2016,"Medio Ambiente",69.77308638
"113",2019,"Reparación de Pozos de Gas(pozos)",69.2537356760204
"114",2013,"Perforación Pozos Exploratorios(pozos)",69.149
"115",2019,"Instalaciones Recuperación Asistida",68.1278688499739
"116",2020,"Oleoductos(km)",68.0749295240728
"117",2017,"Instalaciones Recuperación Secundaria",66.39526
"118",2015,"Medio Ambiente",64.79786807
"119",2019,"Medio Ambiente",62.5541035544525
"120",2020,"Reparación de Pozos de Gas(pozos)",62.49848
"121",2013,"Conversión de Pozos(pozos)",62.186633829
"122",2015,"Conversión de Pozos(pozos)",61.8775
"123",2018,"Instalaciones Recuperación Asistida",61.5892
"124",2016,"Redes de Captación de Gas Natural(m)",60.9932
"125",2016,"Conversión de Pozos(pozos)",59.23303161
"126",2020,"Instalaciones Recuperación Secundaria",57.7294278662943
"127",2019,"Redes de Captación de Gas Natural(m)",57.00276843
"128",2014,"Conversión de Pozos(pozos)",56.12367346
"129",2018,"Medio Ambiente",55.0544511054667
"130",2012,"Plantas de Compresión de Gas Natural",54.033
"131",2013,"Reparación y Actualización de Motores y Compresores",52.0068136037386
"132",2016,"Instalaciones Recuperación Secundaria",51.95667495
"133",2012,"Medio Ambiente",51.8636
"134",2016,"Abandono de Pozos(pozos)",51.27101384
"135",2016,"Plantas de Tratamiento de Gas Natural",48.39585555
"136",2012,"Gasoductos(km)",48.39384
"137",2019,"Instalaciones y Equipos de Telecomunicación",47.830019213777
"138",2019,"Plantas de Compresión de Gas Natural",46.7793746649178
"139",2014,"Reparación y Actualización de Motores y Compresores",46.06
"140",2019,"Edificios, Almacenes, Obras Civiles, Caminos, etc.",45.8441997223243
"141",2020,"Perforación Pozos Inyectores de Agua(pozos)",45.19311
"142",2016,"Gasoductos(km)",45.10760058
"143",2019,"Equipos de Bombeo de Petróleo",44.183893
"144",2013,"Instalaciones Recuperación Asistida",43.646
"145",2017,"Conversión de Pozos(pozos)",42.43091354
"146",2013,"Redes de Captación de Gas Natural(m)",41.112459
"147",2020,"Conversión de Pozos(pozos)",40.95247305
"148",2018,"Reparación y Actualización de Motores y Compresores",38.940630826
"149",2018,"Edificios, Almacenes, Obras Civiles, Caminos, etc.",38.848746631
"150",2017,"Reparación y Actualización de Motores y Compresores",37.13045899
"151",2012,"Equipos de Bombeo de Petróleo",37.10723
"152",2016,"Adquisición de datos sísmicos 3D(km2)",36.779
"153",2013,"Gasoductos(km)",36.7586280745293
"154",2020,"Instalaciones Recuperación Asistida",35.6679390072238
"155",2018,"Perforación Pozos Sumideros(pozos)",35.62264755
"156",2012,"Conversión de Pozos(pozos)",35.474278
"157",2014,"Redes de Captación de Gas Natural(m)",35.08924448
"158",2020,"Gasoductos(km)",35.0562197842292
"159",2016,"Edificios, Almacenes, Obras Civiles, Caminos, etc.",34.21036926
"160",2016,"Reparación y Actualización de Motores y Compresores",33.8979013
"161",2016,"Perforación Pozos Exploratorios(pozos)",32.7437
"162",2020,"Edificios, Almacenes, Obras Civiles, Caminos, etc.",32.0948175802472
"163",2015,"Adquisición de datos sísmicos 3D(km2)",30.76671173
"164",2012,"Reparación y Actualización de Motores y Compresores",30.34761
"165",2019,"Perforación Pozos Sumideros(pozos)",29.0509562
"166",2015,"Reparación y Actualización de Motores y Compresores",28.10886262
"167",2012,"Redes de Captación de Gas Natural(m)",27.81616
"168",2019,"Perforación Pozos Inyectores de Gas(pozos)",27.35383
"169",2012,"Adquisición de datos sísmicos 3D(km2)",26.854
"170",2012,"Plantas de Tratamiento de Gas Natural",26.20594246
"171",2018,"Perforación Pozos Exploratorios(pozos)",25.82860393
"172",2012,"Perforación Pozos Exploratorios(pozos)",25.001
"173",2020,"Plantas de Compresión de Gas Natural",24.43745339
"174",2012,"Edificios, Almacenes, Obras Civiles, Caminos, etc.",24.20723
"175",2018,"Abandono de Pozos(pozos)",23.84019115
"176",2013,"Edificios, Almacenes, Obras Civiles, Caminos, etc.",23.6732195522
"177",2017,"Equipos de Bombeo de Petróleo",23.18099
"178",2016,"Equipos de Bombeo de Petróleo",22.402
"179",2015,"Plantas de Almacenaje",22.293015
"180",2017,"Abandono de Pozos(pozos)",21.95061628
"181",2019,"Abandono de Pozos(pozos)",21.6121436
"182",2020,"Plantas de Tratamiento de Gas Natural",21.5741014009017
"183",2015,"Instalaciones Recuperación Asistida",20.035
"184",2016,"Adquisición de datos sísmicos 2D(km)",19.73
"185",2020,"Abandono de Pozos(pozos)",19.31144506
"186",2015,"Instalaciones y Equipos de Telecomunicación",19.300356
"187",2020,"Reparación y Actualización de Motores y Compresores",18.9642156611817
"188",2012,"Plantas de Almacenaje",18.946588793
"189",2017,"Instalaciones Recuperación Asistida",18.944
"190",2013,"Equipos de Bombeo de Petróleo",17.7765747715208
"191",2012,"Perforación Pozos Inyectores de Gas(pozos)",17.521
"192",2019,"Reparación y Actualización de Motores y Compresores",17.3610708471457
"193",2018,"Instalaciones y Equipos de Telecomunicación",16.964781687251
"194",2017,"Edificios, Almacenes, Obras Civiles, Caminos, etc.",16.79420771
"195",2016,"Instalaciones Recuperación Asistida",16.7926
"196",2020,"Perforación Pozos Sumideros(pozos)",16.788
"197",2016,"Perforación Pozos Inyectores para Rec. Asistida(pozos)",15.91
"198",2020,"Instalaciones y Equipos de Telecomunicación",15.5456996277309
"199",2018,"Adquisición de datos sísmicos 3D(km2)",14.8
"200",2015,"Abandono de Pozos(pozos)",14.78646
"201",2012,"Abandono de Pozos(pozos)",14.7078
"202",2018,"Equipos de Bombeo de Petróleo",14.47167006
"203",2015,"Equipos de Bombeo de Petróleo",14.122
"204",2017,"Instalaciones y Equipos de Telecomunicación",14.04684145
"205",2013,"Plantas de Almacenaje",13.13321024
"206",2014,"Abandono de Pozos(pozos)",12.54
"207",2020,"Perforación Pozos Inyectores para Rec. Asistida(pozos)",12.5224443927761
"208",2016,"Instalaciones y Equipos de Telecomunicación",12.52159264
"209",2020,"Redes de Captación de Gas Natural(m)",12.49352
"210",2014,"Equipos de Bombeo de Petróleo",12.463
"211",2017,"Perforación Pozos Inyectores para Rec. Asistida(pozos)",12.425
"212",2018,"Instalaciones Recuperación Secundaria",11.830165608285
"213",2013,"Abandono de Pozos(pozos)",11.563
"214",2014,"Plantas de Almacenaje",10.2604271888119
"215",2015,"Plantas de Separación de Gas Licuado",10.075
"216",2016,"Perforación Pozos Inyectores de Gas(pozos)",9.701
"217",2019,"Adquisición de datos sísmicos 3D(km2)",8.94251
"218",2017,"Perforación Pozos Sumideros(pozos)",8.502825
"219",2013,"Instalaciones y Equipos de Telecomunicación",8.491256433
"220",2014,"Instalaciones Recuperación Asistida",8.294
"221",2012,"Plantas de Separación de Gas Licuado",8.27476
"222",2017,"Adquisición de datos sísmicos 3D(km2)",8.196
"223",2013,"Perforación Pozos Inyectores para Rec. Asistida(pozos)",7.583
"224",2014,"Instalaciones y Equipos de Telecomunicación",7.454828
"225",2013,"Plantas de Separación de Gas Licuado",6.847
"226",2013,"Adquisición de datos sísmicos 3D(km2)",6.2
"227",2012,"Unidades LACT",6.0465
"228",2012,"Instalaciones Recuperación Asistida",5.545
"229",2015,"Perforación Pozos Inyectores de Gas(pozos)",5.441
"230",2012,"Instalaciones y Equipos de Telecomunicación",4.83653
"231",2019,"Plantas de Separación de Gas Licuado",3.94624
"232",2013,"Perforación Pozos Sumideros(pozos)",3.915
"233",2013,"Adquisición de datos sísmicos 2D(km)",3.91130336
"234",2015,"Perforación Pozos Exploratorios(pozos)",3.692
"235",2017,"Plantas de Separación de Gas Licuado",3.427
"236",2016,"Plantas de Almacenaje",3.2394
"237",2019,"Plantas de Almacenaje",3.07409
"238",2019,"Perforación Pozos Exploratorios(pozos)",3.065
"239",2018,"Plantas de Separación de Gas Licuado",2.53318301
"240",2016,"Instalaciones y Equipo de Laboratorio",2.5235
"241",2018,"Perforación Pozos Inyectores para Rec. Asistida(pozos)",2.291
"242",2018,"Perforación Pozos Inyectores de Gas(pozos)",2.231
"243",2014,"Plantas de Separación de Gas Licuado",2.113
"244",2019,"Unidades LACT",2.05767
"245",2020,"Equipos de Bombeo de Petróleo",1.86328800643784
"246",2014,"Perforación Pozos Sumideros(pozos)",1.854
"247",2020,"Unidades LACT",1.8359297488836
"248",2017,"Unidades LACT",1.79690354485364
"249",2013,"Instalaciones y Equipo de Laboratorio",1.6979911
"250",2017,"Perforación Pozos Inyectores de Gas(pozos)",1.621
"251",2017,"Plantas de Almacenaje",1.58776555
"252",2013,"Unidades LACT",1.569453
"253",2020,"Plantas de Almacenaje",1.557
"254",2012,"Instalaciones y Equipo de Laboratorio",1.494
"255",2016,"Plantas de Separación de Gas Licuado",1.47113825
"256",2014,"Perforación Pozos Inyectores para Rec. Asistida(pozos)",1.426
"257",2015,"Unidades LACT",1.288
"258",2014,"Adquisición de datos sísmicos 3D(km2)",1.27
"259",2015,"Perforación Pozos Sumideros(pozos)",1.211
"260",2014,"Unidades LACT",1.1
"261",2016,"Unidades LACT",1.01875975708747
"262",2018,"Plantas de Almacenaje",0.861
"263",2018,"Instalaciones y Equipo de Laboratorio",0.797
"264",2015,"Adquisición de datos sísmicos 2D(km)",0.659
"265",2018,"Unidades LACT",0.422396393
"266",2014,"Instalaciones y Equipo de Laboratorio",0.357575
"267",2014,"Perforación Pozos Exploratorios(pozos)",0.331
"268",2012,"Perforación Pozos Sumideros(pozos)",0.292
"269",2020,"Adquisición de datos sísmicos 3D(km2)",0.291
"270",2015,"Instalaciones y Equipo de Laboratorio",0.255
"271",2019,"Instalaciones y Equipo de Laboratorio",0.24608977
"272",2014,"Perforación Pozos Inyectores de Gas(pozos)",0.22
"273",2017,"Instalaciones y Equipo de Laboratorio",0.096
"274",2020,"Adquisición de datos sísmicos 2D(km)",0.095
"275",2020,"Instalaciones y Equipo de Laboratorio",0.08861
"276",2020,"Perforación Pozos Inyectores de Gas(pozos)",0.06
"277",2012,"Adquisición de datos sísmicos 2D(km)",0.046
"278",2017,"Adquisición de datos sísmicos 2D(km)",0.0345
"279",2014,"Adquisición de datos sísmicos 2D(km)",0
"280",2015,"Gravimetría y/o Magnetometría(km2)",0
"281",2018,"Adquisición de datos sísmicos 2D(km)",0
"282",2019,"Gravimetría y/o Magnetometría(km2)",0
"283",2020,"Gravimetría y/o Magnetometría(km2)",0
"284",2020,"Perforación Pozos Exploratorios(pozos)",0
"285",2020,"Plantas de Separación de Gas Licuado",0
