"","anio","inv_tot"
"1",2015,9752.79242406333
"2",2014,8003.22539783832
"3",2013,6759.46934120195
"4",2018,6596.50535923395
"5",2019,6535.54875961027
"6",2017,6298.09457242753
"7",2016,6143.00083068491
"8",2012,4865.080058801
"9",2020,3096.04982250342
